#,0,相框,一个女人和一个小女孩的合照，两人笑的很开心,-1
#,1,药剂新闻1,新闻：仿生派代表人华果仿生公司ceo发布长文,2
#,2,药剂新闻1,发表仿生派观点坚决抵制基因派消解人类DNA的行为,3
#,3,药剂新闻1,“这是在灭绝人类，只有仿生派是在迈向人类的未来”,-1
#,4,药剂新闻2,药剂发售日期定为2054年的6月11日。,5
#,5,药剂新闻2,禾本药物公司发言人魏先生称此次发售的药剂将改变人类在基因上的劣势，将优秀的生物基因序列编入人类DNA中，从不同方向强化人类基因。,6
#,6,药剂新闻2,改写人类只能凭借武器强化自身的进化路径。代表着基因派意识思维将在未来成为主流。,-1
#,7,药剂购买,购买进度：id为（7770）的用户已订购基因药剂,-1
#,8,显示器,大桥施工队,9
#,9,显示器,姓名：于明湘,10
#,10,显示器,工龄：15年,11
#,11,显示器,编号：（7770）,-1
#,12,礼盒,哈尔玩具屋,-1
#,13,机器人玩偶,像是给小孩子的玩具,-1
#,14,机械臂,卸下来正在修理中的仿生肢，一片金属损坏了,-1
#,15,替换元件,完整的金属元件,-1
#,16,劳务合同,......,17
#,17,劳务合同,施工期为2054年3月29日至2054年6月1日,18
#,18,劳务合同,......,-1
&,19,工友1,哎你们看最近那个什么公司的发布会没有，那个基因药剂真有他们说的那么玄乎?,20
&,20,工友2,害，那帮搞研究的不是动不动就吹这吹那的，我看啊，这事没谱,21
&,21,于明湘,不过这玩意要是真的，那可比装那些仿生肢强多了,22
&,22,工友2,怎么，你不是忠实的仿生派吗，也开始信基因派这些玄乎的东西?,23
&,23,于明湘,这不是基因派一直没什么进展，要不我也不至于装这些仿生肢，隔几个月修一次麻烦得要命,24
&,24,工友1,早跟你说买个好点的，廉价的仿生肢可不就是这样，怪不得你闺女天天担心你,25
&,25,于明湘,是是是，我贪图小便宜，得了，不跟你们在这扯了，我去管线那边看看,-1
&,26,工友,我干完这趟可得回家歇几天,-1
&,27,于明湘,咱施工队还收小孩?,28
&,28,工友,哪来的小孩，我怎么没见过，你看错了吧,-1
&,29,于明湘,还真是有几条管线出了岔子，得亏我又来检查一遍,-1
